Minis ; ; ; ;; ; ; ; ;; 
LOTUS EVORA   ;-;-;;X;-;40;0,1; ;X;67,5
LOTUS EXIGE   ;1;0;;X;100;5;0;-;86,8;60
MASERATI GRANTURISMO;6;0,2;;X;83,3;238;0,5;-;2,1;74,8
MERCEDES CLK   ;1;0;;X;-;2;0;-;94,6;-
MERCEDES E-KLASSE COUPE;502;20,5;-;21,2;43,2; 11 410;23,6;-;14,2;50,8
MERCEDES SL   ;48;2;-;4;93,8;634;1,3;-;38,7;68,6
MERCEDES SLK   ;650;26,5;+;1 174,5;33,7; 8 651;17,9;+;99,2;44,3
MERCEDES SLR   ;2;0,1;;X;100;24;0;-;47,8;100
MERCEDES SLS AMG;34;1,4;-;46;58,8;994;2,1;+;40,2;62,5
MORGAN AERO 8   ;-;-;;X;-;3;0; ;X;-
MORGAN 4/4   ;5;0,2;;X;60;110;0,2;+;0,9;25,5
NISSAN GT-R   ;3;0,1;;X;100;141;0,3;+;31,8;63,1
NISSAN 350Z   ;-;-;;X;-;1;0; ;X;100
NISSAN 370Z   ;15;0,6;;X;66,7;440;0,9;-;23,6;61,6
OPEL GT   ;-;-;;X;-;7;0;-;93,7;42,9
PEUGEOT RCZ   ;133;5,4;+;30,4;48,1; 2 372;4,9;+;32,3;52,6
PORSCHE BOXSTER, CAYMAN;59;2,4;-;53,5;71,2; 2 215;4,6;+;3,7;68,4
PORSCHE CARRERA GT;1;0;;X;100;1;0; ;X;100
PORSCHE 911   ;377;15,4;-;13,7;83,8; 6 373;13,2;+;10,3;73,1
WIESMANN GT   ;1;0;;X;100;13;0;-;53,6;84,6
WIESMANN ROADSTER;5;0,2;;X;80;108;0,2;+;9,1;54,6
SONSTIGE   ;-;-;;X;-;-;-; ;X;-
ZUSAMMEN   ; 2 452 ;1;+;12;54,4; 48 263;1,5;+ ;4,2;57,4
Mini-Vans ; ;;;;;; ; ;;
CHEVROLET REZZO;-;-;;X;-;31;0;-;13,9;100
FIAT MULTIPLA;-;-;;X;-;16;0;-;46,7;18,8
FORD FOCUS CMAX; 1 997;12,4;+;51,5;66,9; 26 738;12,4;+;174,7;56,5
HYUNDAI IX 20;585;3,6;+;49,2;13,3; 7 965;3,7;+;773,4;33,9
KIA SOUL;96;0,6;-;49,2;43,8; 1 254;0,6;-;17,2;45,2
LANCIA MUSA;26;0,2;;X;50;320;0,1;-;18,8;56,6
MERCEDES B-KLASSE; 2 905;18;+;12,5;54,4; 30 053;13,9;-;19,9;49
NISSAN CUBE;5;0;;X;100;97;0;-;91,3;66
NISSAN NOTE;257;1,6;-;45,2;45,1; 5 292;2,5;-;15;43,5
NISSAN QASHQAI; 2 330;14,5;-;13,9;38,7; 32 651;15,1;+;35,2;31,6
OPEL MERIVA; 2 749;17,1;-;47,5;72,4; 41 097;19;+;29,5;57,3
